"airline";"flight number";"origin airport";"destination airport";"origin city";"destination city";"origin country";"destination country";"STD";"STA";"UTC diff origin";"UTC diff destination";"days of operation";"AC type";"seat capacity"
"XY";354;"FCO";"NCE";"ROM";"NCE";"IT";"FR";"16:25";"17:40";120;120;"1234567";319;138
"XY";2034;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"12:00";"13:10";120;120;"......7";319;138
"XY";2036;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"10:00";"11:10";120;120;"12345..";319;138
"XY";1269;"FCO";"NAP";"ROM";"NAP";"IT";"IT";"14:55";"15:50";120;120;"1234567";319;138
"XY";2036;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"10:00";"11:10";120;120;"......7";"E90";108
"XY";2114;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"20:00";"21:10";120;120;"12345..";320;167
"XY";792;"FCO";"KIX";"ROM";"OSA";"IT";"JP";"15:55";"11:10";120;540;".23.567";330;243
"XY";550;"FCO";"TBS";"ROM";"TBS";"IT";"GE";"21:35";"03:35";120;240;"1.3..6.";320;167
"XY";1799;"FCO";"PMO";"ROM";"PMO";"IT";"IT";"14:55";"16:05";120;120;"......7";320;167
"XY";800;"FCO";"ALG";"ROM";"ALG";"IT";"DZ";"13:05";"14:05";120;60;"12345.7";319;138
"XY";1383;"FCO";"GOA";"ROM";"GOA";"IT";"IT";"11:00";"12:05";120;120;".....6.";319;138
"XY";1475;"FCO";"VCE";"ROM";"VCE";"IT";"IT";"12:30";"13:35";120;120;"..3....";319;138
"XY";730;"FCO";"RHO";"ROM";"RHO";"IT";"GR";"14:20";"17:40";120;180;".....67";"32S";168
"XY";1467;"FCO";"VCE";"ROM";"VCE";"IT";"IT";"16:40";"17:45";120;120;"1234567";319;138
"XY";348;"FCO";"NCE";"ROM";"NCE";"IT";"FR";"08:10";"09:25";120;120;"1234567";"32S";168
"XY";2130;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"21:30";"22:40";120;120;"12345.7";"32S";168
"XY";552;"FCO";"SVX";"ROM";"SVX";"IT";"RU";"20:00";"05:25";120;360;".2.4.6.";"32S";168
"XY";674;"FCO";"GRU";"ROM";"SAO";"IT";"BR";"22:40";"05:40";120;-180;"1234567";772;293
"XY";704;"FCO";"IST";"ROM";"IST";"IT";"TR";"08:05";"11:30";120;180;"1234567";321;200
"XY";1777;"FCO";"PMO";"ROM";"PMO";"IT";"IT";"08:10";"09:20";120;120;".23.567";"32S";168
"XY";2118;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"21:00";"22:10";120;120;"....5..";"32S";168
"XY";2022;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"08:45";"09:55";120;120;"12345..";319;138
"XY";874;"FCO";"CMN";"ROM";"CAS";"IT";"MA";"09:25";"11:50";120;60;"1.3.5.7";319;138
"XY";854;"FCO";"AUH";"ROM";"AUH";"IT";"AE";"11:15";"19:05";120;240;"..3.5..";330;243
"XY";490;"FCO";"WAW";"ROM";"WAW";"IT";"PL";"10:00";"12:30";120;120;"1234567";"32S";168
"XY";2032;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"11:00";"12:10";120;120;"12345..";319;138
"XY";894;"FCO";"CAI";"ROM";"CAI";"IT";"EG";"22:00";"01:20";120;120;"1234567";"32S";168
"XY";2038;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"13:15";"14:25";120;120;".....6.";"E75";76
"XY";681;"EZE";"FCO";"BUE";"ROM";"AR";"IT";"13:20";"07:20";-180;120;"1234567";772;293
"XY";557;"EVN";"FCO";"EVN";"ROM";"AM";"IT";"05:00";"07:25";240;120;"1.3..6.";"32S";168
"XY";177;"ESB";"FCO";"ANK";"ROM";"TR";"IT";"04:35";"06:40";180;120;".2.4.6.";"32S";168
"XY";1722;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"06:10";"07:30";120;120;"1234567";"32S";168
"XY";1345;"CTA";"BLQ";"CTA";"BLQ";"IT";"IT";"06:55";"08:35";120;120;"1234567";319;138
"XY";1750;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"18:55";"20:15";120;120;"1234567";321;200
"XY";1726;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"15:10";"16:30";120;120;"1234567";"32S";168
"XY";1708;"CTA";"NAP";"CTA";"NAP";"IT";"IT";"08:30";"09:30";120;120;"123456.";"E75";76
"XY";1714;"CTA";"LIN";"CTA";"MIL";"IT";"IT";"12:30";"14:20";120;120;"1234567";319;138
"XY";1367;"CTA";"TRS";"CTA";"TRS";"IT";"IT";"17:25";"19:05";120;120;"1234567";"E75";76
"XY";1738;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"14:05";"15:25";120;120;".....67";"32S";168
"XY";1738;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"13:30";"14:50";120;120;"12345..";321;200
"XY";1724;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"11:30";"12:50";120;120;"1234567";321;200
"XY";1706;"CTA";"NAP";"CTA";"NAP";"IT";"IT";"21:15";"22:15";120;120;"1234567";"E75";76
"XY";1756;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"12:15";"13:35";120;120;"1234567";321;200
"XY";1716;"CTA";"GOA";"CTA";"GOA";"IT";"IT";"16:35";"18:20";120;120;"1234567";"E75";76
"XY";1710;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"10:15";"11:35";120;120;".2.45..";"32S";168
"XY";1343;"CTA";"BLQ";"CTA";"BLQ";"IT";"IT";"17:40";"19:20";120;120;"1234567";319;138
"XY";1712;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"16:45";"18:05";120;120;"1234567";321;200
"XY";1672;"CTA";"FLR";"CTA";"FLR";"IT";"IT";"13:05";"14:40";120;120;"1234567";"E75";76
"XY";1744;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"07:55";"09:15";120;120;"1234567";321;200
"XY";1752;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"20:20";"21:40";120;120;"12345..";"E75";76
"XY";1710;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"10:15";"11:35";120;120;"1.3..6.";321;200
"XY";1720;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"21:05";"22:25";120;120;"1234567";321;200
"XY";1730;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"17:30";"18:50";120;120;"1234567";"32S";168
"XY";1752;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"20:20";"21:40";120;120;"......7";"32S";168
"XY";1736;"CTA";"FCO";"CTA";"ROM";"IT";"IT";"07:20";"08:40";120;120;"1234567";"32S";168
"XY";1718;"CTA";"LIN";"CTA";"MIL";"IT";"IT";"20:50";"22:40";120;120;"1234567";320;167
"XY";125;"CPH";"FCO";"CPH";"ROM";"DK";"IT";"13:05";"15:45";120;120;"..34...";"32S";168
"XY";125;"CPH";"FCO";"CPH";"ROM";"DK";"IT";"13:05";"15:45";120;120;".....6.";319;138
"XY";875;"CMN";"FCO";"CAS";"ROM";"MA";"IT";"16:00";"20:00";60;120;"1234567";"32S";168
"XY";877;"CMN";"FCO";"CAS";"ROM";"MA";"IT";"12:40";"16:40";60;120;"1.3.5.7";319;138
"XY";305;"CDG";"LIN";"PAR";"MIL";"FR";"IT";"09:35";"11:05";120;120;"......7";320;167
"XY";329;"CDG";"FCO";"PAR";"ROM";"FR";"IT";"19:50";"21:55";120;120;"1234567";321;200
"XY";327;"CDG";"FCO";"PAR";"ROM";"FR";"IT";"18:15";"20:20";120;120;"1234567";321;200
